Easting,Northing,Tree_ID,Year,Nests_Removed
522262,173128,,2013,1
522239,173174,,2013,4
522228,173177,,2013,3
522170,173215,,2013,1
522118,173362,,2013,1
521995,173346,,2013,1
521872,173701,,2013,3
521671,173876,,2013,4
521517,172511,,2013,2
521506,172823,,2013,1
521467,173077,,2013,1
521389,173507,,2013,1
521383,172994,,2013,2
521383,173150,,2013,1
521380,173126,,2013,4
521371,173353,,2013,1
521369,173895,,2013,4
521368,172828,,2013,1
521367,173361,,2013,1
521367,173404,,2013,1
521356,173375,,2013,4
521354,173114,,2013,2
521351,173262,,2013,2
521347,173474,,2013,2
521343,173459,,2013,2
521329,173085,,2013,1
521327,173140,,2013,1
521323,173650,,2013,2
521319,173131,,2013,1
521317,173000,,2013,2
521315,174072,,2013,4
521313,173063,,2013,6
521312,173131,,2013,7
521312,173606,,2013,2
521303,173468,,2013,3
521303,173500,,2013,1
521297,173614,,2013,1
521295,173555,,2013,2
521286,173534,,2013,1
521279,174122,,2013,2
521275,172382,,2013,1
521271,172795,,2013,1
521265,174133,,2013,1
521259,174065,,2013,2
521256,173659,,2013,1
521251,172733,,2013,1
521248,173587,,2013,1
521240,173634,,2013,1
521239,173650,,2013,1
521230,174171,,2013,1
521223,173620,,2013,2
521215,174117,,2013,1
521214,172741,,2013,1
521212,172526,,2013,1
521204,173991,,2013,5
521202,174167,,2013,1
521178,174047,,2013,1
521175,174093,,2013,2
521174,174019,,2013,4
521173,172431,,2013,2
521173,174067,,2013,4
521171,173580,,2013,1
521168,174092,,2013,1
521167,174248,,2013,1
521156,173593,,2013,2
521154,172448,,2013,1
521151,173555,,2013,1
521150,174103,,2013,1
521145,172455,,2013,1
521144,172486,,2013,1
521135,172372,,2013,1
521131,173538,,2013,10
521115,173544,,2013,3
521109,172387,,2013,2
521090,172441,,2013,1
521081,173639,,2013,5
521081,174270,,2013,4
521073,172320,,2013,1
521072,172179,,2013,4
521071,173606,,2013,3
521070,173567,,2013,1
521069,173581,,2013,5
521064,172337,,2013,7
521064,173548,,2013,2
521060,173632,,2013,2
521058,173666,,2013,1
521048,174253,,2013,1
521027,173578,,2013,1
521025,173680,,2013,1
521016,173653,,2013,1
521014,173674,,2013,1
521010,173594,,2013,3
521009,173330,,2013,1
521009,174078,,2013,1
521006,174096,,2013,6
521000,173349,,2013,1
520998,174088,,2013,3
520992,173448,,2013,1
520983,173488,,2013,5
520983,173521,,2013,1
520980,174055,,2013,1
520965,173423,,2013,1
520963,174330,,2013,4
520961,173487,,2013,1
520950,173488,,2013,1
520947,173357,,2013,1
520947,174104,,2013,2
520935,174056,,2013,1
520928,172020,,2013,1
520927,173498,,2013,1
520924,174062,,2013,1
520923,173442,,2013,1
520921,172675,,2013,2
520911,173489,,2013,2
520899,173477,,2013,1
520892,173484,,2013,1
520876,173431,,2013,1
520871,173364,,2013,1
520856,174319,,2013,4
520848,174308,,2013,11
520832,174096,,2013,3
520831,173556,,2013,1
