Tree_ID,Easting,Northing,first_year,nests_at_first
0003c18324c6,519857,170894,2015,1
0004d09cdded,520241,171874,2013,1
002f3db40efd,521103,173495,2020,2
0038018fe2e3,519747,172036,2019,2
0049b1a32f70,521677,173338,2015,5
0051707338b5,519481,173375,2016,5
0073249029d5,520374,171704,2015,31
007a7f0c9fd3,521271,172752,2015,3
009573681197,521062,173618,2018,4
009587377d66,519816,171152,2014,5
00a09a537daf,519250,170877,2014,8
00a146063e1c,519854,171639,2015,4
00adf51fb203,520115,172552,2015,3
00c37e649fd3,520663,173345,2015,1
00c65187c256,519459,173493,2015,4
00d3002ad1cb,519863,171762,2014,10
00dd898c4b84,521015,173684,2018,7
00edf70df2eb,518802,173456,2017,20
00f74b0311b7,521252,172585,2020,5
010add7d454b,519844,173840,2019,2
0112381c9bb2,519726,171693,2015,3
01226e0a4d6b,519657,171977,2015,3
0123849e0f13,518458,173443,2013,4
012e8e1d7fb1,519110,172090,2017,5
01326ca13a81,520857,173561,2017,17
013c59f06e8b,520150,171489,2020,1
013ddea5e568,521348,173239,2018,2
0143f31119fd,520164,171402,2019,5
015839ca5b39,519780,171848,2015,9
0158ac258b43,519780,171991,2019,2
015cf08d7363,518445,172721,2018,2
015fd44f292f,521271,173313,2014,3
016a6ab01f0c,519821,171988,2019,2
016f80b5cd5a,519761,172046,2015,1
01844566408d,520774,174160,2013,1
0197d189e0e6,518939,172188,2017,8
0197f03623db,520108,174161,2013,1
019e356dbcdc,518613,173404,2014,2
01a7593a40bd,519926,174231,2020,1
01a942b47030,520052,172722,2018,4
01ac36d07f2d,519615,171674,2020,27
01ae98e6e2b8,519177,170714,2014,1
01b7e823f5bb,520954,172204,2016,18
01bb2c595918,519867,171366,2014,1
01be848cc467,519670,173149,2017,23
01c6e4def061,519995,172758,2018,5
01cdf3591a2f,520000,172681,2016,5
01d54ab4f888,518248,173125,2016,2
01d5c5237006,519390,170825,2014,2
01dd4e4f50d0,519407,172541,2018,8
01e92c5982f0,519559,172044,2015,1
01e9416e0df0,521173,173186,2015,4
01ee3aaac2e3,520195,172729,2020,1
01fc85607f36,519985,171959,2016,1
0207e3204068,520366,174409,2014,1
020b076dea53,519872,173943,2014,4
020de9e5827e,521186,173566,2014,10
0214e4163263,519179,172797,2014,2
02185ffcd609,519859,173417,2020,2
021a0ad6358c,518572,173734,2015,4
0220944b72e0,520095,172595,2020,14
0233338057df,520626,173415,2015,3
023b1d42d2b1,520342,173173,2018,2
023cc63979b7,519980,171150,2014,17
02489be36838,520356,173983,2014,1
025017249ac8,520008,173886,2014,1
02551a6052f3,520048,172566,2013,1
025b7695727c,519555,171945,2015,3
02696a2e0d34,519639,171994,2019,3
027270314782,520650,174170,2013,2
02739c2c16d1,521109,172289,2020,6
0281d2fee2b0,520550,174091,2013,1
0285f812d49f,519284,174331,2013,1
0288fa7b6780,519494,173487,2018,8
028de132d3d3,518669,173942,2017,1
02a442d8e2f5,519884,172069,2019,1
02ac0684215b,518497,172680,2020,5
02afc66e8df8,520083,172024,2013,1
02b3f71a1106,521279,173239,2014,9
02b83b7f3360,519171,172681,2019,4
02c2a38a992e,521052,172253,2014,1
02c3211c382e,521018,173653,2020,26
02c74c8ca860,518839,173309,2013,3
02df8f0a7a10,519962,173932,2014,2
02e787a17c57,520377,174395,2014,2
0308c6f5a546,519413,170696,2014,21
0348407b583a,519705,171803,2014,4
034a473baf44,519799,171159,2014,3
034d210b43cc,521129,173351,2020,4
035bc6111b13,519573,171140,2014,1
036a6b4aaedc,519922,172403,2015,1
036a798fa609,519677,173454,2020,4
038cde1424c9,520608,174116,2013,10
0391b16bd8e1,519728,171485,2020,2
039555d1e4f9,520163,174195,2013,1
039cb74ff7ae,519492,172551,2015,12
03a7e5443d95,519213,171133,2013,1
03bfc98c4cef,521279,172837,2020,2
03c624fb3288,520340,173422,2017,2
03ce0db25086,519870,171325,2017,2
03e63abc49c4,519785,173148,2014,3
03e79c703f05,519177,171751,2019,1
03ea1c7b127f,519142,171803,2014,5
03f29a50ef61,521055,173501,2020,1
03f2c8343278,519607,173475,2015,8
03f746c0c826,519881,171695,2014,2
04060e9e1c3a,520686,174050,2013,2
041192851f1c,519626,173304,2016,13
041f81656212,521201,172371,2014,1
04210867309d,519100,172700,2015,4
0429cbb92296,519790,173903,2016,1
042ed8f69a41,520499,171823,2014,1
0430eea9e198,521324,173003,2018,1
04385ba93c7a,520276,171783,2018,2
043aa846e055,518689,172607,2018,2
045122f63067,520783,172374,2013,6
0454264fc2cc,518802,173509,2014,1
046801d88b98,520947,173357,2013,1
046a357f1717,519044,171071,2013,25
046b4ff16c6d,519844,171015,2015,1
0470e13903f7,521196,172465,2015,5
04b79ff8c43c,519474,171034,2013,3
04bc0ce6a3dc,519226,170544,2014,20
04ca2c7f2a68,519018,173844,2020,5
04d1c8074475,520640,173330,2019,6
04e11aa378cf,520224,172688,2020,2
04f029a93341,519768,171868,2019,1
04f4c8cb994b,519430,172820,2015,1
04fa1b0ddb09,519407,170785,2014,4
0500f023c95a,519456,173371,2016,2
053abc911038,519753,174006,2014,5
0540b1ca472a,520203,172531,2015,1
0545eb2ec1cd,520669,173048,2017,2
05489c4a9ad0,519435,173623,2020,5
05498503396e,519735,172003,2019,1
054fe2cf5871,519863,171891,2020,1
055726158edd,519774,171944,2019,1
055adb29b11b,520760,174481,2020,3
056358865dfb,519205,170746,2017,3
05686a6ee186,521210,173582,2018,1
056f50bee673,519851,171841,2020,1
